# Title: Global Land and Ocean Average Temperature Departures
# Units: Degrees Celsius
# Base Period: 1901-2000
Month,Date,Departure from Average
01,2024-01-01,1.3
02,2024-02-01,1.39
03,2024-03-01,1.31
04,2024-04-01,1.26
05,2024-05-01,1.15
06,2024-06-01,1.18
07,2024-07-01,1.18
08,2024-08-01,1.24
09,2024-09-01,1.22
10,2024-10-01,1.31
11,2024-11-01,1.3
12,2024-12-01,1.26
