# Title: Global Land and Ocean Average Temperature Departures
# Units: Degrees Celsius
# Base Period: 1901-2000
Month,Date,Departure from Average
01,2025-01-01,1.31
02,2025-02-01,1.23
03,2025-03-01,1.32
04,2025-04-01,1.2
05,2025-05-01,1.06
06,2025-06-01,0.95
07,2025-07-01,0.95
08,2025-08-01,1.06
09,2025-09-01,1.14
10,2025-10-01,1.14
11,2025-11-01,1.13
12,2025-12-01,1.02
