# Title: Global Land and Ocean Average Temperature Departures
# Units: Degrees Celsius
# Base Period: 1901-2000
Month,Date,Departure from Average
01,2023-01-01,0.89
02,2023-02-01,1.01
03,2023-03-01,1.23
04,2023-04-01,0.99
05,2023-05-01,0.96
06,2023-06-01,1.06
07,2023-07-01,1.16
08,2023-08-01,1.25
09,2023-09-01,1.4
10,2023-10-01,1.35
11,2023-11-01,1.4
12,2023-12-01,1.36
